Genotype,Exp,Loc,Yield,Pro,Oil,Mat
HZ9373,23-C-204E,Ames02,73.45,,,
HZ9373,23-C-204E,Jerico,65.07,,,
HZ9373,23-C-204E,Ames01,92.21,37.25,19.15,2.5
HZ9373,23-C-204E,Lucas,65.97,36.15,20.05,
NU3101,23-C-204E,Ames01,78.27,37.55,18.85,2.7
NU3101,23-C-204E,Jerico,70.16,,,
NU3101,23-C-204E,Ames02,76.72,,,
NU3101,23-C-204E,Sutherland,65.75,,,2.5
NU3101,23-C-204E,Lucas,63.69,36.45,20,
NU3101,23-C-204E,Crawfordsville,86.66,35.85,19.85,2.5
EA2388,23-C-204E,Ames01,83.04,37.15,19.05,2.5
EA2388,23-C-204E,Ames02,67.87,,,
EA2388,23-C-204E,Crawfordsville,82.61,35.65,19.9,2.3
EA2388,23-C-204E,Jerico,67.38,,,
EA2388,23-C-204E,Sutherland,62.04,,,2.1
EA2388,23-C-204E,Lucas,62.6,35.4,20.25,
JF6283,23-C-204E,Jerico,64.78,,,
JF6283,23-C-204E,Ames01,86.39,37.4,18.85,2.5
JF6283,23-C-204E,Ames02,71.87,,,
JF6283,23-C-204E,Sutherland,65.43,,,2.3
JF6283,23-C-204E,Lucas,61.07,35.85,20.2,
JF6283,23-C-204E,Crawfordsville,82.18,36,20,2.5
JD1685,23-C-204E,Ames01,78.35,37.05,19.1,2.5
JD1685,23-C-204E,Ames02,73.68,,,
JD1685,23-C-204E,Lucas,68.43,35.65,20.4,
JD1685,23-C-204E,Jerico,62.41,,,
JD1685,23-C-204E,Crawfordsville,82.51,36.5,19.8,2.5
JD1685,23-C-204E,Sutherland,63.19,,,2.3
OG9194,23-C-204E,Crawfordsville,79.58,35.5,20.2,2.5
OG9194,23-C-204E,Ames02,76.39,,,
OG9194,23-C-204E,Sutherland,66.56,,,2.5
OG9194,23-C-204E,Ames01,85.45,37.7,18.9,2.5
OG9194,23-C-204E,Lucas,67.6,36.1,20.05,
OG9194,23-C-204E,Jerico,71.45,,,
GT9311,23-C-204E,Lucas,67.57,33.75,20.25,
GT9311,23-C-204E,Ames01,85.1,34.8,19.6,2.5
GT9311,23-C-204E,Jerico,65.97,,,
GT9311,23-C-204E,Ames02,76.28,,,
GT9311,23-C-204E,Crawfordsville,81.7,32.8,20.65,2.5
GT9311,23-C-204E,Sutherland,76.75,,,2.5
LI8085,23-C-204E,Ames01,81.54,36.1,19.8,2.1
LI8085,23-C-204E,Ames02,75.86,,,
LI8085,23-C-204E,Crawfordsville,82.22,33.7,21.15,2.3
LI8085,23-C-204E,Jerico,61.52,,,
LI8085,23-C-204E,Lucas,66.66,34.6,20.3,
HG9540,23-C-204E,Crawfordsville,83.22,33.95,21.15,2.5
HG9540,23-C-204E,Sutherland,83,,,2.7
HG9540,23-C-204E,Lucas,68.14,34.05,21.45,
HG9540,23-C-204E,Jerico,63.32,,,
HG9540,23-C-204E,Ames01,80.28,35.35,20.4,2.5
HG9540,23-C-204E,Ames02,74.51,,,
UX9549,23-C-204E,Ames01,81.32,34.75,20.3,2.3
UX9549,23-C-204E,Crawfordsville,79.55,32.95,20.65,2.3
UX9549,23-C-204E,Jerico,59.93,,,
UX9549,23-C-204E,Ames02,69.07,,,
UX9549,23-C-204E,Lucas,67.01,33.1,21.45,
UX9549,23-C-204E,Sutherland,78.63,,,2.5
JV3729,23-C-204E,Sutherland,77.22,,,2.7
JV3729,23-C-204E,Ames02,75.67,,,
JV3729,23-C-204E,Lucas,71.54,35.5,19.35,
JV3729,23-C-204E,Ames01,84.02,35.35,19.25,2.9
JV3729,23-C-204E,Jerico,60.88,,,
JV3729,23-C-204E,Crawfordsville,86.24,34.9,19.3,2.7
AM6762,23-C-204E,Sutherland,71.98,,,2.3
AM6762,23-C-204E,Jerico,69.9,,,
AM6762,23-C-204E,Lucas,67,33.25,21.1,
AM6762,23-C-204E,Ames01,79.76,34.85,20.45,2.3
AM6762,23-C-204E,Crawfordsville,88.4,32.4,21.25,2.3
AM6762,23-C-204E,Ames02,73.34,,,
MO7801,23-C-204E,Ames02,66.97,,,
MO7801,23-C-204E,Lucas,61.87,31.65,22.6,
MO7801,23-C-204E,Crawfordsville,75.06,32.7,21.85,2.3
MO7801,23-C-204E,Ames01,77.18,33.9,21.35,2.3
MO7801,23-C-204E,Jerico,56.83,,,
MO7801,23-C-204E,Sutherland,68.26,,,2.1
VV7170,23-C-204E,Ames02,57.08,,,
VV7170,23-C-204E,Jerico,67.43,,,
VV7170,23-C-204E,Lucas,66.4,33.2,20.85,
VV7170,23-C-204E,Crawfordsville,82.33,33.75,20.6,2.5
VV7170,23-C-204E,Ames01,84.56,34.15,20.3,2.5
VV7170,23-C-204E,Sutherland,75.17,,,2.5
UU6620,23-C-204E,Crawfordsville,79.66,34.55,20.65,2.3
UU6620,23-C-204E,Ames02,71.29,,,
UU6620,23-C-204E,Ames01,82.66,36,19.85,2.5
UU6620,23-C-204E,Lucas,59.24,34.3,20.75,
UU6620,23-C-204E,Jerico,62.62,,,
UU6620,23-C-204E,Sutherland,64.66,,,2.1
TV0069,23-C-204E,Ames02,68.53,,,
TV0069,23-C-204E,Sutherland,58,,,2.1
TV0069,23-C-204E,Jerico,60.18,,,
TV0069,23-C-204E,Crawfordsville,84.23,36.2,18.85,2.1
TV0069,23-C-204E,Lucas,63.32,35.7,19.4,
TV0069,23-C-204E,Ames01,72.97,37.05,19.05,2.1
FJ0019,23-C-204E,Crawfordsville,82.81,35.2,20.1,2.1
FJ0019,23-C-204E,Jerico,62.09,,,
FJ0019,23-C-204E,Ames01,68.91,36.15,19.85,2.1
FJ0019,23-C-204E,Ames02,65.52,,,
FJ0019,23-C-204E,Lucas,64.11,35.2,20.35,
FJ0019,23-C-204E,Sutherland,60.85,,,2.1
BD7470,23-C-204E,Sutherland,63.28,,,2.5
BD7470,23-C-204E,Jerico,58.5,,,
BD7470,23-C-204E,Ames02,71.62,,,
BD7470,23-C-204E,Crawfordsville,86.09,35.05,20,2.5
BD7470,23-C-204E,Ames01,79.28,36.4,19.25,2.3
BD7470,23-C-204E,Lucas,68.31,35.45,20.1,
RO7856,23-C-204E,Ames02,67.29,,,
RO7856,23-C-204E,Sutherland,66.49,,,1.9
RO7856,23-C-204E,Lucas,60.85,35.95,19.75,
RO7856,23-C-204E,Crawfordsville,74.31,35.6,19.75,2.1
RO7856,23-C-204E,Jerico,60.29,,,
RO7856,23-C-204E,Ames01,68.83,37.05,19.25,2.1
FT2669,23-C-204E,Ames02,77.02,,,
FT2669,23-C-204E,Ames01,79.37,37.75,18.75,2.3
FT2669,23-C-204E,Jerico,61.26,,,
FT2669,23-C-204E,Sutherland,67.18,,,2.1
FT2669,23-C-204E,Crawfordsville,81.77,35.85,19.6,2.1
FT2669,23-C-204E,Lucas,67.06,36.35,19.5,
QP7525,23-C-204E,Jerico,59.01,,,
QP7525,23-C-204E,Sutherland,75.54,,,2.3
QP7525,23-C-204E,Ames02,67.23,,,
QP7525,23-C-204E,Lucas,57.22,35.95,19.5,
QP7525,23-C-204E,Crawfordsville,83.27,36.3,18.9,2.1
QP7525,23-C-204E,Ames01,81.91,37.7,18.35,2.3
EE7714,23-C-204E,Ames02,73.15,,,
EE7714,23-C-204E,Lucas,61.71,36.9,19.25,
EE7714,23-C-204E,Sutherland,70.46,,,2.1
EE7714,23-C-204E,Crawfordsville,83.77,36.25,19.4,2.1
EE7714,23-C-204E,Jerico,68,,,
EE7714,23-C-204E,Ames01,71.19,38.05,18.25,2.3
LF7576,23-C-204E,Ames01,66.62,37.95,18.7,2.1
LF7576,23-C-204E,Jerico,64.62,,,
LF7576,23-C-204E,Sutherland,62.2,,,1.9
LF7576,23-C-204E,Crawfordsville,66.09,35.4,19.7,1.9
LF7576,23-C-204E,Ames02,64.33,,,
LF7576,23-C-204E,Lucas,55.72,37.3,19.3,
XA9596,23-C-204E,Ames02,68.36,,,
XA9596,23-C-204E,Jerico,54.21,,,
XA9596,23-C-204E,Sutherland,72,,,2.7
XA9596,23-C-204E,Crawfordsville,93.57,34.6,19.9,2.9
XA9596,23-C-204E,Lucas,66,34.05,20.55,
XA9596,23-C-204E,Ames01,74.57,35.1,20.05,2.7
WF7899,23-C-204E,Ames02,68.84,,,
WF7899,23-C-204E,Sutherland,75.07,,,2.7
WF7899,23-C-204E,Jerico,55.77,,,
WF7899,23-C-204E,Crawfordsville,78.48,34.75,20.55,2.3
WF7899,23-C-204E,Lucas,68.73,34.7,20.75,
WF7899,23-C-204E,Ames01,82.18,35.95,20.05,2.9
SX2872,23-C-204E,Sutherland,64.25,,,2.1
SX2872,23-C-204E,Ames02,70.69,,,
SX2872,23-C-204E,Crawfordsville,74.88,33.5,20.4,2.3
SX2872,23-C-204E,Jerico,66.99,,,
SX2872,23-C-204E,Ames01,78.33,35.25,19.75,1.7
SX2872,23-C-204E,Lucas,53.43,33.7,20.9,
JB2336,23-C-204E,Jerico,69.72,,,
JB2336,23-C-204E,Ames01,80.03,35.6,19.65,2.3
JB2336,23-C-204E,Ames02,73.33,,,
JB2336,23-C-204E,Sutherland,78.51,,,2.3
JB2336,23-C-204E,Lucas,63.59,34.6,19.6,
JB2336,23-C-204E,Crawfordsville,87.94,34.25,19.8,2.3
JZ4190,23-C-204E,Jerico,58.75,,,
JZ4190,23-C-204E,Sutherland,75.46,,,2.1
JZ4190,23-C-204E,Ames02,65.54,,,
JZ4190,23-C-204E,Ames01,88.36,36.3,19.35,2.1
JZ4190,23-C-204E,Crawfordsville,86,35.35,19.75,2.1
JZ4190,23-C-204E,Lucas,60.41,35.1,20,
PR1746,23-C-205L,Crawfordsville,96.14,33.75,21.15,2.9
PR1746,23-C-205L,Lucas,79.97,33.7,21.75,3.1
PR1746,23-C-205L,RockPort,81.42,,,
PR1746,23-C-205L,Ames02,81.64,,,
PR1746,23-C-205L,Urbana,64.06,,,
PR1746,23-C-205L,Ames01,99.45,34.9,20.7,3.3
AE9050,23-C-205L,Crawfordsville,84.54,34.1,20.3,2.5
AE9050,23-C-205L,Lucas,70.17,33.35,20.85,2.3
AE9050,23-C-205L,Ames01,85.44,35.05,19.6,2.7
AE9050,23-C-205L,Urbana,61.39,,,
AE9050,23-C-205L,Ames02,77.29,,,
AE9050,23-C-205L,RockPort,65.08,,,
RN4158,23-C-205L,Lucas,62.91,34.8,20.2,2.9
RN4158,23-C-205L,Ames02,67.82,,,
RN4158,23-C-205L,RockPort,61.74,,,
RN4158,23-C-205L,Urbana,56.53,,,
RN4158,23-C-205L,Ames01,80.39,35.2,19.55,3.1
RN4158,23-C-205L,Crawfordsville,88.41,35.1,19.6,2.9
MD7005,23-C-205L,Crawfordsville,86.23,33.7,20.45,2.5
MD7005,23-C-205L,Urbana,55.74,,,
MD7005,23-C-205L,Ames02,70.17,,,
MD7005,23-C-205L,Ames01,65.39,34.1,20.3,2.7
MD7005,23-C-205L,Lucas,63.53,33.2,21.1,2.5
MD7005,23-C-205L,RockPort,73.49,,,
ZF3479,23-C-205L,RockPort,67.03,,,
ZF3479,23-C-205L,Ames01,82.89,35.05,20.3,2.7
ZF3479,23-C-205L,Lucas,67.17,33.85,21.3,2.7
ZF3479,23-C-205L,Urbana,60.45,,,
ZF3479,23-C-205L,Ames02,73.38,,,
ZF3479,23-C-205L,Crawfordsville,81.26,34.65,20.65,2.7
KG5450,23-C-205L,RockPort,67.97,,,
KG5450,23-C-205L,Ames02,71.53,,,
KG5450,23-C-205L,Urbana,63.08,,,
KG5450,23-C-205L,Lucas,71.59,33.8,21.25,2.7
KG5450,23-C-205L,Crawfordsville,83.1,35.15,20,2.7
KG5450,23-C-205L,Ames01,76.27,35.5,19.6,3.1
RY2476,23-C-205L,Ames02,76.62,,,
RY2476,23-C-205L,Lucas,63.13,33.3,20.55,3.1
RY2476,23-C-205L,Urbana,62.67,,,
RY2476,23-C-205L,RockPort,70.81,,,
RY2476,23-C-205L,Ames01,74.42,35.25,19.4,3.1
RY2476,23-C-205L,Crawfordsville,83.79,34.7,19.6,2.9
EV0449,23-C-205L,Ames02,73.51,,,
EV0449,23-C-205L,Crawfordsville,82.57,33.15,20.1,2.7
EV0449,23-C-205L,Urbana,61.71,,,
EV0449,23-C-205L,Ames01,87.99,34.7,19.9,2.7
EV0449,23-C-205L,RockPort,69.04,,,
EV0449,23-C-205L,Lucas,63.96,32.55,21.2,2.7
KE3508,23-C-205L,Ames01,94.85,33.8,20.25,2.7
KE3508,23-C-205L,Urbana,61.24,,,
KE3508,23-C-205L,Ames02,74.89,,,
KE3508,23-C-205L,Lucas,68.66,32.8,21.15,2.7
KE3508,23-C-205L,RockPort,67.95,,,
KE3508,23-C-205L,Crawfordsville,89.95,34.15,20.05,2.7
NB3850,23-C-205L,RockPort,83.69,,,
NB3850,23-C-205L,Crawfordsville,95.81,33.1,20.6,2.9
NB3850,23-C-205L,Urbana,58.82,,,
NB3850,23-C-205L,Ames02,75.74,,,
NB3850,23-C-205L,Lucas,64.51,33.2,21.05,2.7
NB3850,23-C-205L,Ames01,89.11,33.95,20.5,2.5
VP1682,23-C-205L,Crawfordsville,88.4,33.85,20.65,2.7
VP1682,23-C-205L,Lucas,60.99,33.45,20.8,2.3
VP1682,23-C-205L,Urbana,61.13,,,
VP1682,23-C-205L,RockPort,55.19,,,
VP1682,23-C-205L,Ames02,68.61,,,
VP1682,23-C-205L,Ames01,79.87,34.4,20.25,2.7
CR8070,23-C-205L,Urbana,58.72,,,
CR8070,23-C-205L,Crawfordsville,81.68,33.2,20.45,2.9
CR8070,23-C-205L,Ames02,76.97,,,
CR8070,23-C-205L,RockPort,69.51,,,
CR8070,23-C-205L,Ames01,81.06,34.2,19.8,3.3
CR8070,23-C-205L,Lucas,74.34,33.2,20.85,2.9
MJ1809,23-C-205L,Crawfordsville,81.92,33.15,20.85,2.3
MJ1809,23-C-205L,Ames02,68.29,,,
MJ1809,23-C-205L,Lucas,67.55,33,20.65,2.7
MJ1809,23-C-205L,Ames01,91.74,33.55,20.75,2.5
MJ1809,23-C-205L,RockPort,62.28,,,
MJ1809,23-C-205L,Urbana,57.4,,,
HN6849,23-C-205L,Urbana,56.49,,,
HN6849,23-C-205L,Lucas,64.7,33,21.35,2.5
HN6849,23-C-205L,Ames02,71.97,,,
HN6849,23-C-205L,RockPort,68.48,,,
HN6849,23-C-205L,Crawfordsville,82.95,33.1,21.15,2.3
HN6849,23-C-205L,Ames01,83.2,33.95,20.6,2.5
XA2143,23-C-205L,RockPort,65.87,,,
XA2143,23-C-205L,Lucas,57.41,33.8,20.65,2.7
XA2143,23-C-205L,Urbana,55.5,,,
XA2143,23-C-205L,Ames02,75.88,,,
XA2143,23-C-205L,Ames01,91.52,34.5,20,2.5
XA2143,23-C-205L,Crawfordsville,84.65,34,20.35,2.7
MG7546,23-C-205L,Lucas,70.94,33.3,20.45,3.1
MG7546,23-C-205L,RockPort,79.91,,,
MG7546,23-C-205L,Ames01,91,34.2,19.85,3.3
MG7546,23-C-205L,Ames02,78.53,,,
MG7546,23-C-205L,Urbana,62.58,,,
MG7546,23-C-205L,Crawfordsville,82.14,32.95,20.4,2.7
KV7090,23-C-205L,Ames01,92.87,33.4,19.85,3.3
KV7090,23-C-205L,Urbana,58.34,,,
KV7090,23-C-205L,Ames02,69.99,,,
KV7090,23-C-205L,RockPort,81.16,,,
KV7090,23-C-205L,Lucas,78.84,32.6,20.75,2.9
KV7090,23-C-205L,Crawfordsville,87.09,32.95,20.25,2.5
DA7359,23-C-205L,RockPort,82.5,,,
DA7359,23-C-205L,Ames02,76.82,,,
DA7359,23-C-205L,Urbana,59.79,,,
DA7359,23-C-205L,Lucas,73.62,33.35,20.85,2.5
DA7359,23-C-205L,Crawfordsville,86.47,33.8,20.35,2.7
DA7359,23-C-205L,Ames01,93.11,34.15,20.55,2.5
PN3608,23-C-205L,Ames01,74.08,33.8,20.4,3.3
PN3608,23-C-205L,Lucas,66.97,32.35,21.2,2.7
PN3608,23-C-205L,Crawfordsville,80.91,32.45,20.95,2.7
PN3608,23-C-205L,Urbana,58.23,,,
PN3608,23-C-205L,RockPort,59.54,,,
PN3608,23-C-205L,Ames02,71.08,,,
NZ4616,23-C-205L,Urbana,63.01,,,
NZ4616,23-C-205L,RockPort,65.91,,,
NZ4616,23-C-205L,Crawfordsville,84,35.9,19.55,2.9
NZ4616,23-C-205L,Ames02,71,,,
NZ4616,23-C-205L,Ames01,87.91,35.75,19.45,2.7
NZ4616,23-C-205L,Lucas,60.91,35.55,20,3.1
DT8134,23-C-205L,RockPort,76.76,,,
DT8134,23-C-205L,Ames02,67.76,,,
DT8134,23-C-205L,Ames01,76.76,34,19.95,3.3
DT8134,23-C-205L,Lucas,64.28,32.5,21,2.7
DT8134,23-C-205L,Crawfordsville,78.23,33.2,20.7,2.7
DT8134,23-C-205L,Urbana,56.72,,,
OK6067,23-C-205L,RockPort,74.87,,,
OK6067,23-C-205L,Ames02,74.99,,,
OK6067,23-C-205L,Lucas,60.15,33.55,20.4,2.7
OK6067,23-C-205L,Crawfordsville,92.21,34.35,19.85,2.9
OK6067,23-C-205L,Urbana,64.93,,,
OK6067,23-C-205L,Ames01,86.58,34.6,20.05,3.3
IS4256,23-C-205L,Urbana,60.7,,,
IS4256,23-C-205L,Ames02,68.85,,,
IS4256,23-C-205L,RockPort,73.8,,,
IS4256,23-C-205L,Lucas,65.42,33.95,21.4,2.7
IS4256,23-C-205L,Ames01,64.98,,,3.5
IS4256,23-C-205L,Crawfordsville,67.18,34.25,20.35,2.9
AJ1731,23-C-205L,Ames01,70.67,36,19.25,2.5
AJ1731,23-C-205L,Urbana,52.26,,,
AJ1731,23-C-205L,Crawfordsville,80.44,34.65,19.9,2.5
AJ1731,23-C-205L,RockPort,63.26,,,
AJ1731,23-C-205L,Lucas,58.13,33.85,20.35,2.7
AJ1731,23-C-205L,Ames02,67.99,,,
IS4853,23-C-205L,Urbana,57.7,,,
IS4853,23-C-205L,Crawfordsville,85.93,34.25,20.45,2.7
IS4853,23-C-205L,Ames01,83.35,35.45,19.8,2.7
IS4853,23-C-205L,Lucas,68.63,33.9,20.9,2.7
IS4853,23-C-205L,RockPort,67.39,,,
IS4853,23-C-205L,Ames02,75.96,,,
TH1328,23-C-205L,Urbana,62.2,,,
TH1328,23-C-205L,RockPort,75.67,,,
TH1328,23-C-205L,Ames01,77.87,35.35,19.9,2.7
TH1328,23-C-205L,Ames02,70.82,,,
TH1328,23-C-205L,Crawfordsville,85.92,34.8,20,2.5
TH1328,23-C-205L,Lucas,70.76,34.15,20.5,2.7
YZ9621,23-C-205L,Ames02,79.11,,,
YZ9621,23-C-205L,Lucas,69.33,32.2,21.45,2.5
YZ9621,23-C-205L,Ames01,90.92,33.15,20.8,2.5
YZ9621,23-C-205L,RockPort,71.35,,,
YZ9621,23-C-205L,Urbana,61.18,,,
YZ9621,23-C-205L,Crawfordsville,92.34,32.65,20.85,2.5
TB8245,23-C-205L,Urbana,60.44,,,
TB8245,23-C-205L,Crawfordsville,81.45,34.8,20.6,2.3
TB8245,23-C-205L,Ames01,77.88,35.4,20.45,2.5
TB8245,23-C-205L,Ames02,64.24,,,
TB8245,23-C-205L,Lucas,67.02,34.25,21,2.5
TB8245,23-C-205L,RockPort,75.16,,,
DI9680,23-C-205L,Ames02,74.01,,,
DI9680,23-C-205L,Ames01,86.89,35.25,19.9,3.1
DI9680,23-C-205L,Lucas,63.66,33.55,20.6,2.9
DI9680,23-C-205L,RockPort,60.69,,,
DI9680,23-C-205L,Urbana,61.94,,,
DI9680,23-C-205L,Crawfordsville,81.74,34.35,20.1,2.9
AE1341,23-C-205L,Ames02,71.31,,,
AE1341,23-C-205L,Crawfordsville,85.75,34.35,19.4,3.1
AE1341,23-C-205L,Lucas,74.91,34.35,19.6,3.3
AE1341,23-C-205L,Ames01,84.28,34.85,19.55,2.9
AE1341,23-C-205L,RockPort,72.94,,,
AE1341,23-C-205L,Urbana,61.87,,,
XA8314,23-C-205L,RockPort,71.06,,,
XA8314,23-C-205L,Lucas,71.68,33.25,21.25,2.7
XA8314,23-C-205L,Ames02,70.56,,,
XA8314,23-C-205L,Crawfordsville,83.51,33.15,20.55,2.7
XA8314,23-C-205L,Urbana,54.42,,,
XA8314,23-C-205L,Ames01,84.09,34.2,20.55,2.5
NK5572,23-C-205L,Ames01,74.13,34.45,20.45,2.7
NK5572,23-C-205L,Urbana,56.72,,,
NK5572,23-C-205L,Ames02,69.18,,,
NK5572,23-C-205L,Crawfordsville,77.22,34.25,20.4,2.7
NK5572,23-C-205L,Lucas,71.27,33.85,20.95,2.5
NK5572,23-C-205L,RockPort,80.75,,,
XO0257,23-C-205L,Ames01,82.08,34.95,20.15,3.1
XO0257,23-C-205L,Ames02,75.53,,,
XO0257,23-C-205L,Crawfordsville,74.74,33.95,20.4,2.5
XO0257,23-C-205L,Urbana,59.06,,,
XO0257,23-C-205L,RockPort,71.13,,,
XO0257,23-C-205L,Lucas,73.72,33.7,20.8,2.5
FJ9870,23-C-205L,Crawfordsville,82.34,34.05,20.4,2.7
FJ9870,23-C-205L,Lucas,65.74,33.2,21.25,2.5
FJ9870,23-C-205L,Ames01,84.35,34.2,20.4,2.5
FJ9870,23-C-205L,Urbana,60.42,,,
FJ9870,23-C-205L,RockPort,73.95,,,
FJ9870,23-C-205L,Ames02,73.54,,,
YK2947,23-C-205L,Ames01,70.98,35.15,19.7,3.3
YK2947,23-C-205L,RockPort,73.51,,,
YK2947,23-C-205L,Ames02,74.03,,,
YK2947,23-C-205L,Urbana,63.3,,,
YK2947,23-C-205L,Lucas,72.76,33.65,20.2,2.5
YK2947,23-C-205L,Crawfordsville,85.48,34.4,19.3,3.1
MY7658,23-C-205L,RockPort,79.34,,,
MY7658,23-C-205L,Ames02,79.68,,,
MY7658,23-C-205L,Urbana,61.3,,,
MY7658,23-C-205L,Lucas,71.91,33.6,21.25,2.9
MY7658,23-C-205L,Crawfordsville,88.41,33.65,20.7,2.7
MY7658,23-C-205L,Ames01,87.28,34.15,20.65,3.1
HV6409,23-C-205L,Ames01,78.43,35.65,19.9,3.1
HV6409,23-C-205L,Lucas,61.9,34.2,20.5,2.7
HV6409,23-C-205L,RockPort,73.19,,,
HV6409,23-C-205L,Ames02,75.56,,,
HV6409,23-C-205L,Crawfordsville,78.24,35.2,19.9,2.9
HV6409,23-C-205L,Urbana,61.7,,,
KC2855,23-C-205L,Ames01,83.09,34.05,20.45,2.9
KC2855,23-C-205L,Crawfordsville,82.24,34.2,20.3,2.9
KC2855,23-C-205L,Urbana,61.39,,,
KC2855,23-C-205L,Lucas,79.57,32.8,20.8,2.9
KC2855,23-C-205L,RockPort,81.27,,,
KC2855,23-C-205L,Ames02,68.77,,,
VI7604,23-C-205L,Crawfordsville,91.81,35.85,19.85,2.9
VI7604,23-C-205L,Urbana,56.86,,,
VI7604,23-C-205L,Ames01,76.97,37.1,19.4,3.3
VI7604,23-C-205L,Lucas,74.8,36,20.4,2.9
VI7604,23-C-205L,RockPort,70.26,,,
VI7604,23-C-205L,Ames02,78.21,,,
HQ6797,23-C-205L,Urbana,58.85,,,
HQ6797,23-C-205L,Ames02,76.47,,,
HQ6797,23-C-205L,Ames01,77.74,35.8,19.95,3.1
HQ6797,23-C-205L,RockPort,67.87,,,
HQ6797,23-C-205L,Crawfordsville,86.35,35.35,20.05,2.9
HQ6797,23-C-205L,Lucas,72.95,35.55,20.2,2.9
PR1746,23-C-206L,Urbana,62.88,,,
PR1746,23-C-206L,Ames01,86.63,34.8,20.8,2.9
PR1746,23-C-206L,Ames02,78.62,,,
PR1746,23-C-206L,RockPort,73.17,,,
PR1746,23-C-206L,Lucas,75.7,33.55,21.7,2.7
PR1746,23-C-206L,Crawfordsville,92.65,33.75,21,2.9
DH8433,23-C-206L,RockPort,63.16,,,
DH8433,23-C-206L,Lucas,69.75,33.45,20.75,2.7
DH8433,23-C-206L,Ames01,78.17,34.6,19.75,2.5
DH8433,23-C-206L,Crawfordsville,99.21,34.05,19.9,2.7
DH8433,23-C-206L,Urbana,55.29,,,
DH8433,23-C-206L,Ames02,77.11,,,
FO8316,23-C-206L,Ames01,76.22,32.9,21.15,2.7
FO8316,23-C-206L,Urbana,49.13,,,
FO8316,23-C-206L,Crawfordsville,99.57,32.45,20.8,2.7
FO8316,23-C-206L,RockPort,66.71,,,
FO8316,23-C-206L,Ames02,70.74,,,
FO8316,23-C-206L,Lucas,71.08,32.05,21.6,2.7
CK5510,23-C-206L,Ames01,79.19,35.7,19.9,2.7
CK5510,23-C-206L,Crawfordsville,79.74,34.85,20,2.7
CK5510,23-C-206L,Ames02,72.26,,,
CK5510,23-C-206L,Lucas,69.81,34.1,20.55,2.7
CK5510,23-C-206L,Urbana,61.24,,,
CK5510,23-C-206L,RockPort,65.2,,,
PN2184,23-C-206L,Urbana,58.1,,,
PN2184,23-C-206L,Ames01,75.12,35.3,20.2,2.5
PN2184,23-C-206L,Crawfordsville,81.96,33.8,20.1,2.5
PN2184,23-C-206L,Lucas,67.33,34.05,20.4,2.3
PN2184,23-C-206L,Ames02,72.47,,,
PN2184,23-C-206L,RockPort,56.9,,,
EJ5741,23-C-206L,Crawfordsville,84.01,33.7,20.9,2.7
EJ5741,23-C-206L,RockPort,58.46,,,
EJ5741,23-C-206L,Ames01,76.86,34.35,20.6,2.7
EJ5741,23-C-206L,Urbana,61.01,,,
EJ5741,23-C-206L,Lucas,74.02,33.05,21.3,2.9
EJ5741,23-C-206L,Ames02,72.87,,,
IF6085,23-C-206L,Urbana,50.14,,,
IF6085,23-C-206L,Crawfordsville,83.98,,,2.7
IF6085,23-C-206L,Lucas,71.19,33,21.4,2.7
IF6085,23-C-206L,Ames02,70.67,,,
IF6085,23-C-206L,RockPort,59.39,,,
IF6085,23-C-206L,Ames01,83.26,34.45,20.55,2.7
BR7094,23-C-206L,Urbana,60.54,,,
BR7094,23-C-206L,Ames02,71.61,,,
BR7094,23-C-206L,Lucas,68.39,33.2,21.2,2.7
BR7094,23-C-206L,Ames01,78.93,34.35,20.35,2.5
BR7094,23-C-206L,Crawfordsville,81.5,33.2,20.8,2.7
BR7094,23-C-206L,RockPort,58.31,,,
VK9474,23-C-206L,Ames02,65.7,,,
VK9474,23-C-206L,Crawfordsville,79.66,33.6,20.5,2.5
VK9474,23-C-206L,RockPort,63.86,,,
VK9474,23-C-206L,Urbana,49.03,,,
VK9474,23-C-206L,Ames01,80.5,34.65,20.25,2.9
VK9474,23-C-206L,Lucas,65.43,34,20.5,2.5
LY0507,23-C-206L,Urbana,56.05,,,
LY0507,23-C-206L,Lucas,76.83,34.05,21.5,2.5
LY0507,23-C-206L,RockPort,70.11,,,
LY0507,23-C-206L,Ames01,85.3,34.9,20.65,2.7
LY0507,23-C-206L,Crawfordsville,80.89,33.5,21.6,2.9
LY0507,23-C-206L,Ames02,73.7,,,
WY1290,23-C-206L,Ames02,73.91,,,
WY1290,23-C-206L,Ames01,84.05,34.15,20.85,2.7
WY1290,23-C-206L,Lucas,76.14,32.4,21.6,2.7
WY1290,23-C-206L,RockPort,69.19,,,
WY1290,23-C-206L,Crawfordsville,86.93,33.05,21.05,2.5
WY1290,23-C-206L,Urbana,59.64,,,
WM1762,23-C-206L,Urbana,56.05,,,
WM1762,23-C-206L,RockPort,67.39,,,
WM1762,23-C-206L,Ames01,83.14,34.75,20.25,2.7
WM1762,23-C-206L,Lucas,70.1,33.65,20.8,2.7
WM1762,23-C-206L,Crawfordsville,76.92,34,19.65,2.5
WM1762,23-C-206L,Ames02,70.68,,,
DI5088,23-C-206L,Crawfordsville,82.31,32.85,21.4,2.5
DI5088,23-C-206L,Lucas,69.67,32.35,21.6,2.7
DI5088,23-C-206L,Ames01,73.87,33.7,20.95,2.5
DI5088,23-C-206L,RockPort,59.18,,,
