Genotype,Exp,Loc,Yield,Pro,Oil,Mat
TF1585,23-C-201E,Ames02,70,,,
TF1585,23-C-201E,Sutherland,65.06,,,2.1
YO4047,23-C-201E,Sutherland,72.03,,,2.7
YO4047,23-C-201E,Jerico,55.88,,,
YO4047,23-C-201E,Ames01,90.23,35.45,19.5,2.7
YO4047,23-C-201E,Lucas,77.3,33.75,20.05,
YO4047,23-C-201E,Crawfordsville,91.77,33.4,20.05,2.5
YO4047,23-C-201E,Ames02,79.64,,,
ZJ3378,23-C-201E,Ames01,70.94,35.5,19.65,2.1
ZJ3378,23-C-201E,Jerico,62.63,,,
ZJ3378,23-C-201E,Lucas,69.71,33.85,20.55,
ZJ3378,23-C-201E,Sutherland,65.79,,,2.5
ZJ3378,23-C-201E,Ames02,70.01,,,
ZJ3378,23-C-201E,Crawfordsville,81.04,34,20.1,2.3
UZ4033,23-C-201E,Ames01,104.39,35.75,19.25,2.9
UZ4033,23-C-201E,Sutherland,73.03,,,2.7
UZ4033,23-C-201E,Ames02,76.02,,,
UZ4033,23-C-201E,Jerico,67.69,,,
UZ4033,23-C-201E,Lucas,69.94,34.8,19.6,
UZ4033,23-C-201E,Crawfordsville,94.54,34.05,20,2.5
RC3147,23-C-201E,Ames02,75.26,,,
RC3147,23-C-201E,Ames01,80.34,35.6,19.35,2.7
RC3147,23-C-201E,Lucas,68.12,32.9,20.55,
RC3147,23-C-201E,Jerico,66.64,,,
RC3147,23-C-201E,Crawfordsville,82.73,33.1,20.4,2.3
RC3147,23-C-201E,Sutherland,74.03,,,2.1
HN2160,23-C-201E,Crawfordsville,82.34,33.8,20.1,2.1
HN2160,23-C-201E,Sutherland,74.61,,,2.1
HN2160,23-C-201E,Lucas,71.37,33.1,20.45,
HN2160,23-C-201E,Ames02,74.75,,,
HN2160,23-C-201E,Ames01,79.43,35.75,19.15,2.9
HN2160,23-C-201E,Jerico,69.75,,,
RQ3845,23-C-201E,Sutherland,78.86,,,2.5
RQ3845,23-C-201E,Jerico,63.9,,,
RQ3845,23-C-201E,Ames01,67.96,35.05,19.3,2.5
RQ3845,23-C-201E,Crawfordsville,86.74,33.75,20.05,2.3
RQ3845,23-C-201E,Ames02,71.04,,,
RQ3845,23-C-201E,Lucas,62.09,33.6,20.15,
RD8951,23-C-201E,Ames02,73.47,,,
RD8951,23-C-201E,Crawfordsville,91.94,33.4,20.8,2.1
RD8951,23-C-201E,Ames01,85.43,36.1,19.2,2.7
RD8951,23-C-201E,Jerico,69.17,,,
RD8951,23-C-201E,Lucas,70.47,33.9,20,
RD8951,23-C-201E,Sutherland,74.79,,,2.3
LF4730,23-C-201E,Ames02,66.69,,,
LF4730,23-C-201E,Crawfordsville,88.64,34.1,20.1,2.3
LF4730,23-C-201E,Lucas,62.02,33.5,20.65,
LF4730,23-C-201E,Sutherland,72.52,,,2.1
LF4730,23-C-201E,Ames01,72.3,35.9,19.1,2.7
LF4730,23-C-201E,Jerico,62.73,,,
NW8888,23-C-201E,Lucas,61.19,33.9,20.4,
NW8888,23-C-201E,Crawfordsville,92.19,33.6,20.8,2.1
NW8888,23-C-201E,Ames02,68.62,,,
NW8888,23-C-201E,Sutherland,81.68,,,2.1
NW8888,23-C-201E,Jerico,67.91,,,
NW8888,23-C-201E,Ames01,78.55,35.7,19.45,2.5
EZ6949,23-C-201E,Jerico,64.34,,,
EZ6949,23-C-201E,Ames01,85.24,34.95,20.1,2.5
EZ6949,23-C-201E,Lucas,66.12,33.45,20.95,
EZ6949,23-C-201E,Crawfordsville,88.54,33.7,20.95,2.3
EZ6949,23-C-201E,Ames02,74.33,,,
EZ6949,23-C-201E,Sutherland,80.3,,,2.3
WZ0474,23-C-201E,Lucas,72.96,35.05,19.25,
WZ0474,23-C-201E,Ames02,79.08,,,
WZ0474,23-C-201E,Ames01,85.97,36.1,18.85,2.7
WZ0474,23-C-201E,Sutherland,77.15,,,2.3
WZ0474,23-C-201E,Crawfordsville,90.12,34.2,19.95,2.3
WZ0474,23-C-201E,Jerico,67.19,,,
UW6883,23-C-201E,Ames01,86.36,35.85,19.6,2.5
UW6883,23-C-201E,Ames02,70.2,,,
UW6883,23-C-201E,Crawfordsville,81.32,33.15,20.55,2.3
UW6883,23-C-201E,Sutherland,61.69,,,2.1
UW6883,23-C-201E,Lucas,65.86,33.85,20.4,
UW6883,23-C-201E,Jerico,65.06,,,
WH8978,23-C-201E,Sutherland,71.25,,,2.1
WH8978,23-C-201E,Lucas,71.45,33.95,20.6,
WH8978,23-C-201E,Ames02,66.64,,,
WH8978,23-C-201E,Jerico,62.01,,,
